City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
599,Ponta Delgada,PT,78.49,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
603,Sterling,US,90.14,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
604,Portomaggiore,IT,84.27,scattered clouds,44.6985,11.8068,Basilico
608,Houma,US,90.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
610,Tual,ID,79.77,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
611,Waddan,LY,92.97,clear sky,29.1614,16.139,محل الشريف محمد العايب
614,Faya,SA,78.91,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
615,Agadir,MA,79.25,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
616,Port Hueneme,US,83.07,overcast clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
621,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
622,Scottsbluff,US,86.77,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
623,Santa Rosa,PH,78.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
624,Douentza,ML,85.41,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
626,Plattsburgh,US,82.31,few clouds,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
627,Lewistown,US,86.86,clear sky,40.5992,-77.5714,Quality Inn & Suites
631,Addanki,IN,85.48,overcast clouds,15.8167,79.9833,Shanthi residency
632,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
636,Sainte-Maxime,FR,89.92,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
638,Portel,BR,93.15,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
639,Goianapolis,BR,87.08,clear sky,-16.5106,-49.0239,Hotel Tomatão
641,Healdsburg,US,84.31,mist,38.6105,-122.8692,Best Western Dry Creek Inn
645,Ganzhou,CN,79.5,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
646,Bastia,FR,83.3,clear sky,42.6667,9.3333,Hotel Santa Maria
647,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
651,Timbiras,BR,94.64,broken clouds,-4.2553,-43.9406,Timbiras Palmeirais Hotel
653,Kingman,US,87.19,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
654,Sungairaya,ID,77.85,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
655,Port-Gentil,GA,78.76,few clouds,-0.7193,8.7815,Fengshui Residence
660,Fraser,US,85.95,few clouds,42.5392,-82.9494,Days Inn & Suites by Wyndham Roseville/Detroit Area
661,Auki,SB,75.42,scattered clouds,-8.7676,160.7034,Auki Motel
662,Dawei,MM,77.94,broken clouds,14.0833,98.2,Hotel Dawei
663,Jaciara,BR,99.57,few clouds,-15.9653,-54.9683,Taba Hotel
664,Aden,YE,85.41,broken clouds,12.7794,45.0367,Sama Emirate Hotel
666,Itoman,JP,84.97,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
668,Bilasipara,IN,79.09,overcast clouds,26.232,90.2347,Inspection Bunglow
672,Ashqelon,IL,85.78,clear sky,31.6693,34.5715,Leonardo Ashkelon
673,Hihya,EG,80.64,clear sky,30.6713,31.588,مضيفة المركز
675,Lehigh Acres,US,92.95,clear sky,26.6254,-81.6248,Lehigh Resort Club
681,Vedeno,RU,75.38,clear sky,42.9703,46.095,Vedeno
682,Mazamet,FR,94.08,clear sky,43.49,2.373,La Villa de Mazamet
684,Siparia,TT,88.79,scattered clouds,10.1333,-61.5,Brook Gardens
685,Sabha,LY,95.54,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
691,Inirida,CO,76.21,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
693,Tarut,SA,98.82,clear sky,26.5733,50.0369,سطحة لسحب ونقل السيارات
695,Bryukhovetskaya,RU,78.12,few clouds,45.806,38.9996,"Gostinitsa ""Kameliia"""
697,Kislyakovskaya,RU,81.39,clear sky,46.4417,39.675,"""На Красной"""
699,Meadow Lake,US,83.7,clear sky,34.8014,-106.5436,TumbleWeed RV Park
706,Filingue,NE,86.32,overcast clouds,14.3521,3.3168,
707,Tigzirt,DZ,85.37,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
709,Caibarien,CU,87.22,broken clouds,22.5206,-79.4669,La Nena
710,Kamenka,RU,78.28,overcast clouds,51.3223,42.7678,
